Country,Year,n,KPC_pos,KPC_pct,NDM_pos,NDM_pct,OXA_pos,OXA_pct,VIM_pos,VIM_pct,IMP_pos,IMP_pct,GES_pos,GES_pct,CTX-M-1_pos,CTX-M-1_pct,CTX-M-2_pos,CTX-M-2_pct,CTX-M-9_pos,CTX-M-9_pct,SHV_pos,SHV_pct,TEM_pos,TEM_pct
Argentina,2004,57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Argentina,2005,102,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9803921568627451,9,8.823529411764707,0,0.0,10,9.803921568627452,10,9.803921568627452
Argentina,2006,86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.1627906976744187,4,4.651162790697675,0,0.0,6,6.976744186046512,5,5.813953488372093
Argentina,2007,137,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2.18978102189781,0,0.0,3,2.18978102189781,3,2.18978102189781
Argentina,2008,171,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.1695906432748537,2,1.1695906432748537,0,0.0,4,2.3391812865497075,0,0.0
Argentina,2009,138,1,0.7246376811594203,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,4.3478260869565215,4,2.898550724637681,1,0.7246376811594203,12,8.695652173913043,10,7.246376811594203
Argentina,2010,108,8,7.407407407407407,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9259259259259259,3,2.7777777777777777,0,0.0,11,10.185185185185185,8,7.407407407407407
Argentina,2011,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,3,12.0,3,12.0
Argentina,2012,71,15,21.12676056338028,0,0.0,1,1.408450704225352,0,0.0,0,0.0,0,0.0,18,25.35211267605634,11,15.492957746478874,0,0.0,43,60.563380281690144,30,42.25352112676056
Argentina,2013,73,12,16.438356164383563,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,23.28767123287671,6,8.219178082191782,0,0.0,35,47.945205479452056,26,35.61643835616438
Argentina,2014,105,25,23.80952380952381,0,0.0,4,3.8095238095238093,0,0.0,0,0.0,0,0.0,27,25.714285714285715,2,1.9047619047619047,0,0.0,58,55.23809523809524,48,45.714285714285715
Argentina,2015,153,20,13.071895424836601,0,0.0,4,2.6143790849673203,0,0.0,0,0.0,0,0.0,34,22.22222222222222,5,3.2679738562091503,0,0.0,62,40.52287581699346,42,27.45098039215686
Argentina,2016,166,25,15.060240963855422,0,0.0,7,4.216867469879518,0,0.0,0,0.0,0,0.0,38,22.89156626506024,1,0.6024096385542169,1,0.6024096385542169,68,40.963855421686745,51,30.72289156626506
Argentina,2017,160,28,17.5,0,0.0,1,0.625,0,0.0,0,0.0,0,0.0,40,25.0,2,1.25,2,1.25,67,41.875,59,36.875
Argentina,2018,86,13,15.116279069767442,1,1.1627906976744187,1,1.1627906976744187,0,0.0,1,1.1627906976744187,0,0.0,32,37.2093023255814,0,0.0,0,0.0,42,48.83720930232558,32,37.2093023255814
Argentina,2019,79,27,34.177215189873415,3,3.7974683544303796,2,2.5316455696202533,0,0.0,0,0.0,0,0.0,32,40.50632911392405,2,2.5316455696202533,0,0.0,52,65.82278481012658,44,55.69620253164557
Argentina,2020,125,52,41.6,12,9.6,1,0.8,0,0.0,0,0.0,0,0.0,40,32.0,1,0.8,0,0.0,66,52.8,54,43.2
Argentina,2021,107,33,30.8411214953271,13,12.149532710280374,1,0.9345794392523364,0,0.0,0,0.0,0,0.0,28,26.16822429906542,2,1.8691588785046729,1,0.9345794392523364,50,46.728971962616825,47,43.925233644859816
Argentina,2022,79,23,29.11392405063291,22,27.848101265822784,0,0.0,0,0.0,1,1.2658227848101267,0,0.0,40,50.63291139240506,0,0.0,0,0.0,50,63.29113924050633,39,49.36708860759494
Argentina,2023,82,14,17.073170731707318,22,26.829268292682926,1,1.2195121951219512,0,0.0,0,0.0,0,0.0,26,31.70731707317073,0,0.0,0,0.0,44,53.65853658536585,28,34.146341463414636
Argentina,2024,56,5,8.928571428571429,20,35.714285714285715,0,0.0,0,0.0,0,0.0,0,0.0,24,42.857142857142854,1,1.7857142857142858,0,0.0,29,51.785714285714285,19,33.92857142857143
Australia,2004,26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Australia,2005,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Australia,2006,76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Australia,2007,64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Australia,2008,59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Australia,2009,59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Australia,2010,36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Australia,2012,71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.633802816901408,0,0.0,0,0.0,5,7.042253521126761,2,2.816901408450704
Australia,2013,103,0,0.0,0,0.0,0,0.0,0,0.0,1,0.970873786407767,0,0.0,3,2.912621359223301,0,0.0,0,0.0,7,6.796116504854369,3,2.912621359223301
Australia,2014,83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,4.819277108433735,0,0.0,0,0.0,5,6.024096385542169,4,4.819277108433735
Australia,2015,90,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.2222222222222223,0,0.0,0,0.0,1,1.1111111111111112,2,2.2222222222222223
Australia,2016,148,0,0.0,0,0.0,0,0.0,0,0.0,2,1.3513513513513513,0,0.0,16,10.81081081081081,0,0.0,0,0.0,18,12.162162162162161,13,8.783783783783784
Australia,2017,143,0,0.0,1,0.6993006993006993,2,1.3986013986013985,0,0.0,3,2.097902097902098,0,0.0,15,10.48951048951049,0,0.0,2,1.3986013986013985,22,15.384615384615385,14,9.79020979020979
Australia,2018,64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.125,0,0.0,0,0.0,6,9.375,2,3.125
Australia,2019,86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.488372093023256,0,0.0,0,0.0,3,3.488372093023256,3,3.488372093023256
Australia,2020,123,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8130081300813008,0,0.0,5,4.065040650406504,0,0.0,1,0.8130081300813008,9,7.317073170731708,4,3.252032520325203
Australia,2021,110,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9090909090909091,0,0.0,1,0.9090909090909091,4,3.6363636363636362,0,0.0
Australia,2022,119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,5.882352941176471,0,0.0,0,0.0,9,7.563025210084033,3,2.5210084033613445
Australia,2023,76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,10.526315789473685,0,0.0,1,1.3157894736842106,10,13.157894736842104,3,3.9473684210526314
Australia,2024,92,0,0.0,0,0.0,1,1.0869565217391304,0,0.0,0,0.0,0,0.0,6,6.521739130434782,0,0.0,1,1.0869565217391304,10,10.869565217391305,4,4.3478260869565215
Austria,2004,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austria,2006,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austria,2008,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austria,2009,40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austria,2010,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austria,2011,35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austria,2012,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.761904761904762,0,0.0,0,0.0,3,14.285714285714286,1,4.761904761904762
Austria,2013,51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,9.803921568627452,0,0.0,3,5.882352941176471,13,25.49019607843137,6,11.764705882352942
Austria,2014,105,3,2.857142857142857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,6.666666666666667,0,0.0,0,0.0,17,16.19047619047619,8,7.619047619047619
Austria,2015,37,7,18.91891891891892,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,24.324324324324323,0,0.0,0,0.0,18,48.648648648648646,15,40.54054054054054
Austria,2016,93,1,1.075268817204301,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,7.526881720430108,0,0.0,1,1.075268817204301,13,13.978494623655914,8,8.602150537634408
Austria,2024,17,0,0.0,0,0.0,1,5.882352941176471,0,0.0,0,0.0,0,0.0,2,11.764705882352942,0,0.0,0,0.0,2,11.764705882352942,0,0.0
Belgium,2004,28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
